Country,SP.DYN.LE00.IN,NY.GDP.PCAP.CD,SE.PRM.ENRR,SE.ADT.LITR.ZS
HKG,77.08292682926829,10609.745639454499,106.73031,38.89524009741897
CYP,76.19107317073171,7645.62976711711,82.34883,30.861779112853128
NLD,76.890243902439,17518.0287566478,102.89182,47.726704634010346
MAR,63.483365853658505,1016.67233202524,70.28043000000001,32.23843253636301
CHL,71.773243902439,1937.71062117144,107.74373,42.27019075553575
MIC,63.3853145769033,642.108215890569,103.69506072997999,45.129257509321974
BRA,64.5982195121951,2276.24055609996,94.69454955513898,32.99268865419496
BIH,71.31824390243901,14098.424997108186,131.64676315901164,44.15692197159611
TZA,50.58007317073171,219.326879288434,69.09768000000001,59.1138
FCS,54.82838362103421,4094.847643177134,78.421287536621,22.811979086718562
MDV,59.771756097560996,803.5498797128598,102.80387324086581,33.99068307153027
MLI,45.459073170731706,264.84064003128503,25.03565,40.84696251428148
PER,64.5321707317073,718.7983415754428,115.78935,31.106680870974174
MYS,70.2757317073171,2050.4485320492604,93.24029,33.78179004930159
EGY,63.6405609756098,653.602218182633,87.59038000000001,46.43823366139644
SYC,66.81396774568061,4122.54196246344,101.85068000000001,54.68941196671119
SVK,71.2078048780488,8172.014954470305,99.75462788819549,41.92013938651439
NGA,46.203,256.375841257804,85.17081,27.457621007310347
IND,57.031121951219504,361.45035799819397,89.16608000000001,40.53044153686715
KAZ,68.8487804878049,18006.706644463084,139.16964999207573,51.84818636717659
IDN,62.5634878048781,507.355183144399,119.15131000000001,27.63506266411091
GRD,68.0974878048781,1881.7834460944198,114.68923000000001,50.94632263400617
SLE,38.6940731707317,278.307105624674,55.53041999999999,28.583250638349462
HUN,70.0234146341463,-1762.9305151084154,85.53671,40.776864130352465
KHM,52.8951951219512,10591.617285231117,148.11723,38.55734426728492
MUS,68.86302439024391,2054.63992161434,112.42188,43.79474807631211
KGZ,65.8585853658537,14093.800153091208,139.04046348528425,25.44519035482886
CIV,52.9181951219512,904.5655336529512,70.3896,34.13928
VUT,62.331756097561,1065.84231686181,103.39559,39.221439039428965
TCA,52.251622207742315,3830.0487696248347,115.53315591171736,28.687765002767136
TKM,62.64292682926829,859.040886808671,99.02850263327085,42.23190462642583
VNM,69.8469512195122,401.87491099611,107.97656,46.636841699642545
VEN,69.5603170731708,3089.41798511035,105.51409,50.117399494025065
CAN,76.8092682926829,18814.564547179198,103.52167,33.830400933199286
EST,70.6975609756098,6698.204908793065,114.44173,36.7821189060218
SWZ,58.832048780487796,863.575974211171,93.11284,36.1429036987694
KEN,59.4496829268293,381.541593358746,103.32951,27.222635128675456
JAM,70.86941463414641,1624.6574519408402,104.15793000000001,31.49042468478349
DNK,74.77170731707321,22441.087387003397,99.03583,39.00770283219465
LUX,74.48082926829271,26368.5751168828,94.04925,37.54999664423747
MDG,50.1849756097561,224.54147379691202,95.76231999999999,49.157265701908855
PSS,63.1474470178925,1285.8392620337402,104.302879333496,45.2586821268955
ABW,73.296243902439,6460.988465151633,79.57445941179306,31.29827527231781
USA,74.7658536585366,21483.2330602579,105.64903464723696,52.74218723870807
AFG,48.16973170731711,-5624.687810659831,34.008559999999996,40.31352701220344
ROM,69.3880487804878,1753.1927923043695,91.01982,28.45787610689318
EUU,74.57457690613309,12606.425499069099,103.27114868164101,50.65571131503725
TON,69.31519512195119,1126.50261266732,116.28118387596041,39.65599735368426
LAO,52.5405365853659,149.399651287549,102.81879,31.929456952714546
BOL,54.035268292682886,697.370560078149,111.94504153622941,33.150393127169124
HIC,74.1088990673249,14088.796265479099,102.559257507324,21.308564160277317
SLV,62.0714634146342,818.723391948963,98.97137,43.86528526273486
NAM,60.8368780487805,1922.4103152929501,122.5458,19.145114702514277
UKR,70.4975609756098,1449.96249883861,112.54109,47.23248822503921
SMR,63.06415026449159,-5156.437787087676,106.31956696400732,39.165070936854484
BLZ,71.46560975609759,1758.97221058511,113.14549,23.77130711536477
BHR,72.1057073170732,7958.115240243771,112.15256000000001,39.88863230241386
MOZ,42.4816341463415,159.505331777674,62.175990000000006,40.0308151158128
SSD,42.14404878048779,-1503.687982755855,102.59230990608822,39.98497134204001
ISL,77.08292682926829,24651.5893337552,100.04383,38.41631661644372
VIR,74.1262926829268,11527.2733397129,90.5232856955283,34.74178209740142
SEN,56.267902439024404,705.858357977895,54.5251,26.86885
BMU,60.49106649255119,24253.175518878397,137.17551168045668,29.545516609659096
BLR,71.34146341463409,4540.1965634972385,93.89869,44.07792871389371
SRB,74.92444086668743,-7554.466152570831,80.12024827750166,49.084985502957366
ADO,70.80520857685359,14305.2085377854,133.7289082345909,54.906347350344944
SXM,52.22567379476971,12147.090452791886,66.71442225781043,48.579565955173294
LCN,67.0685197557805,2136.59544045194,114.385841369629,56.17132559058411
BGD,57.2348780487805,263.734115667125,77.4079,28.89409870745818
LIE,56.015844431197245,41356.9353535852,66.1354450190978,42.040904660663124
LBY,67.89873170731711,-9933.02872829786,104.3861301639984,33.38545615974998
ESP,76.74707317073171,9689.53885849796,106.02441,34.88884094735536
PAK,59.5264878048781,379.33781317666495,55.277280000000005,55.419919033706
ETH,46.1921219512195,242.913612155868,40.982820000000004,29.05548110968963
OED,74.2254069341904,15078.7707628687,104.645439147949,47.42001257173284
GNB,48.3727317073171,162.835142449285,50.89529,42.461322303542616
CYM,62.96750963877847,8154.4184396364435,61.51733003170132,40.2133745530919
BWA,62.9456341463415,2034.1212092958106,101.95442,52.38060927666206
FJI,65.1113414634146,1535.4119387222595,84.3396553147083,41.47353734871726
DEU,74.77895121951221,17863.4378971386,75.35069208045283,34.1152321864894
JPN,78.3992682926829,24592.7720053564,102.04685,27.611336723525188
AZE,65.36914634146339,-1270.2805772560314,90.56849159480288,33.21220424981263
CZE,71.6414634146342,12309.35227974848,91.41518,44.626290822706736
LAC,66.2798041338284,1847.5716199932895,116.29409790039101,41.54089981188771
HRV,71.4882926829268,17822.887518174008,83.04244199330802,41.139369054120706
ALB,71.9532926829268,676.566732520011,89.38920999999999,42.057954259231
ZWE,61.32263414634149,792.030152503715,107.70888000000001,43.428649196484386
URY,72.18490243902441,2676.2019861598897,106.35113999999999,29.91607077296021
MAF,74.2707317073171,5107.629525437198,107.50202075502955,30.92308837749258
BGR,71.6043902439024,2561.10861712563,103.84192,31.888985367408758
ECA,67.7709088107758,1391.2272728301998,104.49584197997999,46.611114070911654
LBN,69.6532926829268,1241.68053314089,135.36287391445836,27.275549196782762
GBR,75.38048780487809,15987.168077568798,106.94446,38.860379102066005
