Country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,NY.GNP.PCAP.CD
KWT,2.7169365432665256,0.12708290310722334,-0.9516184322919128,38.85529893364056,-8.922286493190644,5.433675451989997,-30.158932666161537,-8.411555152529996,13.370975233907751,1.8617394057171,-15.085349610145718,-7.5513593971883255,-2.8054645906767646,-1.5211831025593934,-0.06644551487929773,3.599769722165548,-1.1576748412071185,0.5327197785321973,-10.41302115000302,-1.9010445614249967,2.062679483199956,0.07957815299312232,0.1466668971696342,-0.475589525061304,-0.0404416083169397,-0.3315161780120135,1.1120611817144752,-0.7976137184888568,-1.041236423591235,-1.2344871714589902,-3.487192346461634,2.146655089843772,-3.772293995151784,3.1418045671950194,0.6086303633963667,0.1441181698665311,-2.048078144482088,0.9695043794851363,-0.6295517048576106,0.9212824798955324,-3.0084237487291334,1.750458223580462,0.03955336937000323,0.14901960475730822,0.7654154025616415,19050.0
MHL,-4.902342348231706,-0.1937140850003943,8.137117353535363,17.76185570360478,1.8165305510550822,3.1000775324734047,-6.86081017750015,13.574219274168033,3.314463146592299,-2.1842800255927353,24.942180898983448,0.5252181802405924,5.9424499695022295,-4.688261284140188,11.079480547257226,-5.957896256985407,-2.5141260420294644,-2.3911080852007855,-0.663666525527761,0.7764429884882582,-2.1220467111467434,-2.869642231608202,-0.7084493576867121,-0.9085387594031662,-0.9452987813795359,0.609064865936757,-3.4583747860021736,0.5540202117438583,-5.460281576334151,-0.9867460532222067,1.954766139532865,4.388778809877422,-1.0768944408913153,-1.6184878873310273,-0.09300927977160586,-3.265527938359322,-1.488580846211906,-1.8143704556813725,1.0630784718038793,2.3311827885293295,-0.8688975200615394,1.8141448361731567,0.03955336937000323,-0.5623989900973989,1.9019273206474598,2850.0
TUV,6.646163316518117,-0.7157446481272172,5.150901851768825,-6.938401942675278,4.066486313733167,6.883141346412388,-6.748467306528259,1.709840318264383,-6.665337033992815,0.5520031324092963,15.585005443660911,-4.997384151742708,-0.5221281794970722,3.617864559567213,3.839533086374595,-4.255232442280086,-5.764814735862176,-3.468033903123003,15.854489456165748,0.6796813580580395,-10.619829058637613,-2.0563776835057546,0.1566990537180264,1.4486784236355807,-2.865706846963088,2.091528016413036,4.551575682812041,0.6018020118868003,-5.06585970373609,0.2220804962305565,3.731607457461233,-4.959360510385729,5.622086997800618,1.1959400291578675,2.6573129412160856,-0.3319039591307231,-2.4617493903586287,0.4964891348157756,0.5913607484130556,-0.2676000674700406,-2.3461649296571063,-0.08570387596931944,-2.0272371579977895,-0.2616866605532233,-1.5604032342347989,14259.058492338543
NZL,0.4818875115594008,-0.3398797634680061,2.8617739518592824,24.967346982067323,-21.299661910484247,-5.292543838584749,11.65594521975713,-13.314279620306598,-8.667662575163524,-0.6475486051283792,-3.353475945298028,-1.3115421009231123,0.21119409662091101,2.34573170221844,-11.59074234736697,6.223302366420754,4.992643279360941,4.022356106960398,-0.20948007830185084,-0.6943664460968924,-0.2759781787383155,0.8504090091149178,-1.851762004239332,-6.873087397413561,-0.9356970571008792,-1.4185343549188059,0.8508292204627191,-0.36986153347497297,2.3924094103781233,-0.41318650697708587,3.4805835606099897,-2.8776607192665096,-3.0186102475245917,0.9688522944751662,-2.6009432109027264,0.12479746952275517,-0.9392014757038678,-0.7702063541299176,-0.6328914581830288,-1.7829847855443604,-1.0638373510000796,-0.5694248890804685,0.03955336937000323,1.5980205968713774,1.1093709465299388,14070.0
ATG,-2.345649237588444,-0.16884318961773628,-8.040733604050859,2.3260461201041567,15.417103684696045,1.9788255397025007,32.83627881943627,1.5353425908242517,-9.742168297223845,-1.6597959263369244,-13.19508375113575,-6.75679425835078,-0.5605409681947527,0.37629480482453814,5.877398880702779,1.150086835425875,-3.082447059995129,2.2663152198807692,-3.6420971659888313,-0.5843933187656775,-5.564791599455785,-1.0762271284961336,-3.9038275718049547,3.5592381670490467,-0.9203481119580417,-1.6762597699520425,2.2752296044962983,0.5271173278270792,-2.6159194975407143,-0.7850239961542336,-1.6987837924275424,-3.3566658825149336,-1.909020542337266,2.7371204942056946,1.050027572746182,-1.0427117106425743,-1.9206162104740123,-1.0863209666590097,0.2507298627040787,-1.1221894335043376,0.34698817399998505,0.22979786258756496,0.03955336937000323,-0.4572122752445331,0.21274842833863591,8620.0
RUS,-2.207997202617135,-0.18652999414658955,4.666214433969512,3.268140691638416,-3.454072596174643,12.919709165192355,-5.687539631027739,-2.6935223717900105,42.07066521743994,0.5863312090166741,-3.645191045950046,-5.249970747914407,0.2573262366283747,5.0107278374077096,15.217329959158695,1.665895602782855,-2.2971715479641186,0.036304944203240264,8.737960000832777,-2.1106760931770543,1.406314993502191,-1.446928091114156,-1.514523673921449,-9.104347544909462,0.4278802104504976,-0.8863241353904929,6.563086894804364,0.8696753450517251,-0.49612186093256494,0.01400631352109879,2.4032564324255907,0.12173852097128424,1.3100208853431643,-1.161190922619328,-0.048008811316158306,-1.8773276294053889,-2.459521064901252,0.05988563580818479,0.27896539293199063,-0.08629136057508846,-1.9560978128378883,-1.145995269281512,0.03955336937000323,-0.3138224459818271,-0.7528875095680785,1710.0
IMY,-1.371340714981701,1.7483370103973301,-1.3444352456755655,-3.6139763765111823,7.2621933658284545,0.8844683788397085,1.5963964055124338,7.892154001910619,-8.020442669243444,-1.1801202621421671,-8.696951045573838,-5.169515849551912,5.557461578101452,-6.868695566437137,-23.75883943492384,1.0240350181750069,-6.379538890962816,4.0439701008959625,2.7158098945226796,-1.2701529395042028,-6.340917090034958,0.5665636861188209,2.15426808349698,-0.42100313276575285,-3.0120254198308367,-5.480504556291811,1.4533683147481613,1.4766055976198547,2.4483174789027076,0.39919041012705586,1.1638808532786489,1.7055872829546863,1.8770165524306917,3.3060304785903862,-1.2836642833440817,0.7766345390928793,0.9375184666972924,1.462594078502369,0.03287504785677148,3.3277858563779583,-0.398398784804438,0.8284747101643013,0.9521193731390294,-2.5527813294793154,-1.0933539807514467,21920.0
ZAF,1.0855770190421699,-0.5349341392013204,-0.6221982191386805,6.747002395696206,2.061869429110064,3.0611226266576326,-14.322601651788283,-13.373661447289065,-11.765520853371603,-0.8451878805264804,-39.49656644267006,-3.6009347647186645,-2.812501969522581,-1.086846840222246,0.12001593950115053,-2.5879153739216956,-6.198552760686377,0.475546476737736,-0.7852101821242985,-1.628730976194523,-2.4141659841596343,1.6118896771045,-2.1881244735693373,-0.8988512046975087,-0.34024978743911705,-1.4843185960564491,-1.157997038363831,0.8542606548703158,-6.368053056488058,0.8745543468187258,-2.010310966584547,-3.3810448955976855,-1.1096303674802663,-1.9173377874601516,-1.6905927834481842,-1.9910904711971027,-1.8339498351958836,-0.35227410360737993,4.973793074154308,-0.8974580227217307,-0.20335462011856642,-0.21631801340999887,0.03955336937000323,-0.3036430318106017,-1.1385333790125631,3140.0
GHA,-3.120014182110399,0.688339913180239,0.0610070973271915,-56.122785947518636,8.201612987842491,-10.961656214619207,7.861072452273139,-5.65304296614117,-4.509399937787406,1.0282960280794207,-16.711426776886256,0.8162878346000884,-2.642135840611853,2.261699565850249,-14.834025927891343,-6.198954585158075,-4.029172459894297,-3.4714433099121904,-3.112781537550366,-2.636413158896515,-4.51829071607352,-1.938787936657172,0.11613894912645967,-2.3569465876774256,-0.9757371336211196,2.3347498838786542,-1.7800058584209177,-0.7486227570055152,-3.0455054817971003,-0.4554588805185688,0.12168972672790401,-2.8364030257633517,1.447114684544876,0.2398715087786401,-5.488232130837501,-1.813844174231527,-2.179698824500967,-0.30467320874179127,1.8729620021325082,1.0405670827542641,-3.003428243057178,-0.16825589476178412,0.03955336937000323,-0.36803070514756403,-3.455836653227826,340.0
PAN,-6.677070212578488,-0.7154466050021426,-1.881427016142029,16.730216454236242,-11.82728072406671,-8.182581272805198,1.2934442810119395,-9.496185188456128,-12.589678335012806,-0.9461332995931536,-35.09096990992117,-4.043060395812807,-3.4515128299458953,-2.1842401233132587,0.24740695115484856,2.8725257940825095,-4.1153469476027436,-0.7765064937522916,-2.4352553947198605,-1.2998137432637566,-5.862432367262429,-0.5720432577232095,-1.8741198665189545,2.7113404547393176,-0.89371015412316,-1.738149794096912,-2.8962294192349605,1.8986267765871345,-2.3134468486943343,-0.885293642027675,0.5885866085719619,-2.6105877782831164,-1.4367918589843045,-1.5085500793544169,-1.5109110798360177,-1.6134518762115642,-2.1550137111138907,0.4757493310572098,-0.2863186930097904,0.980640428426726,-0.5084990512095735,-0.10510418197579295,0.03955336937000323,-0.3654499103676874,1.1941918480679825,3640.0
CHN,3.6751604963780444,-0.6441218219333263,-12.000482155482036,7.214282127622031,11.548241125169145,50.66559612663256,18.97299131210834,4.694378216439554,33.70022599167844,0.3922569834330021,27.214673787906953,-1.0976248825347108,-1.198616701062944,3.2104493679975223,-29.23265994115401,-1.5328421723958363,-3.7514920421816615,-0.5115152230845397,7.75748505871828,-1.0560959027273213,8.557692626377612,2.965022990467542,-0.10821403081313397,1.3662818473477405,10.524309191782116,0.9736293091113032,12.350845618779319,-0.41249959187988505,1.3655331432814306,-0.1915120750828972,-0.9378612594335599,2.106940059751425,-3.7534107844897138,-2.0478218545385563,-0.3493472299962671,1.62226230462039,-0.6205632951333908,-1.5797695139577186,-1.5539326780731808,0.32673130109880855,-0.8787943485868668,-0.23040749462749366,0.03955336937000323,-0.5883233006344696,0.5545995616275289,930.0
HKG,-12.254366709719934,4.389294192662915,5.735190839131154,11.36020009226242,11.402983764942265,3.7593077250504887,-16.318087329820006,5.717459355042047,3.090413663734247,-0.377912176447446,-7.988395696516818,-3.794621638626142,5.400252080049011,0.7356728272345157,-11.776646298689565,7.614935773264529,-5.544236069187673,9.86464025200673,0.3707018802381855,0.6301163693476138,-6.276187347184276,2.930508121360096,5.08342723320562,-2.623294593385537,6.800960135319038,-1.7644757578809052,-1.5677103612740897,-0.4779586234930635,3.8690166499142995,-0.7759638558839311,-0.18342373266550355,-1.085851864297623,-1.5386166177100942,1.7325344172762822,1.395540905813746,5.195129490470336,-0.20952995938412533,-1.0901195871618916,-1.0742117981448107,1.697732912469533,5.410393030951695,-0.22697423540358283,0.03955336937000323,1.399053836140276,3.130485723429022,26930.0
